# File S4. Bacterial family Coracle output.,,,,,,,,,,,,,
,score,l1_rfr,l1_lasso_rfr,l1_alasso_rfr,l1_cfs_rfr,clr_rfr,clr_lasso_rfr,clr_alasso_rfr,clr_cfs_rfr,l1_lasso_coef,l1_alasso_coef,clr_lasso_coef,clr_alasso_coef
Eel-36e1D6,1.9e-05,0.00054,0,0,0,0.00054,0,0,0,0,0,0,0
Xanthobacteraceae,1.8e-05,0.00036,0,0,0,0.00064,0,0,0,0,0,0,0
Campylobacteraceae,1.7e-05,0,0,0,0,0.0019,0,0,0,0,0,0,0
Microbulbiferaceae,1.7e-05,0.00084,0,0,0,0.00012,0,0,0,0,0,0,0
Criblamydiaceae,1.7e-05,0.00011,0,0,0,0.00081,0,0,0,0,0,0,0
Caldilineaceae,1.6e-05,2e-06,0,0,0,0.0009,0,0,0,0,0,0,0
Unknown_Family,1.6e-05,0.00038,0,0,0,0.00053,0,0,0,0,0,0,0
Arenicellaceae,1.6e-05,2.2e-06,0,0,0,0.00089,0,0,0,0,0,0,0
Actinomarinaceae,1.5e-05,0.00062,0,0,0,0.00026,0,0,0,0,0,0,0
Pseudonocardiaceae,1.4e-05,0,0,0,0,0.0016,0,0,0,0,0,0,0
Microtrichaceae,1.4e-05,0.00022,0,0,0,0.00056,0,0,0,0,0,0,0
Carnobacteriaceae,1.4e-05,0.00047,0,0,0,0.00032,0,0,0,0,0,0,0
Spirochaetaceae,1.4e-05,4.2e-05,0,0,0,0.00072,0,0,0,0,0,0,0
Leptotrichiaceae,1.4e-05,0.00017,0,0,0,0.0006,0,0,0,0,0,0,0
Peptostreptococcaceae,1.4e-05,0.0002,0,0,0,0.00055,0,0,0,0,0,0,0
Algiphilaceae,1.3e-05,0.00034,0,0,0,0.00041,0,0,0,0,0,0,0
Gemmataceae,1.2e-05,2.8e-06,0,0,0,0.00066,0,0,0,0,0,0,0
Diplorickettsiaceae,1.2e-05,1e-05,0,0,0,0.00064,0,0,0,0,0,0,0
UBA12409,1.2e-05,3.5e-05,0,0,0,0.00062,0,0,0,0,0,0,0
Sneathiellaceae,1.2e-05,0.00014,0,0,0,0.00051,0,0,0,0,0,0,0
Brevibacteriaceae,1.1e-05,5.5e-05,0,0,0,0.00058,0,0,0,0,0,0,0
Lactobacillaceae,1.1e-05,0.00024,0,0,0,0.00039,0,0,0,0,0,0,0
UBA12411,1.1e-05,0.00055,0,0,0,7.8e-05,0,0,0,0,0,0,0
Acetobacteraceae,1.1e-05,2.2e-10,0,0,0,0.00058,0,0,0,0,0,0,0
Spirosomaceae,1e-05,8.2e-05,0,0,0,0.0005,0,0,0,0,0,0,0
Cellvibrionaceae,9.9e-06,6.9e-05,0,0,0,0.00048,0,0,0,0,0,0,0
Thermoactinomycetaceae,9.8e-06,0,0,0,0,0.0011,0,0,0,0,0,0,0
Alicyclobacillaceae,9.3e-06,8.3e-05,0,0,0,0.00044,0,0,0,0,0,0,0
Clostridiaceae,9.3e-06,5.8e-05,0,0,0,0.00046,0,0,0,0,0,0,0
Helicobacteraceae,9.2e-06,5.4e-07,0,0,0,0.00051,0,0,0,0,0,0,0
Holosporaceae,9.1e-06,1.9e-05,0,0,0,0.00048,0,0,0,0,0,0,0
SAR116_clade,9.1e-06,0.00034,0,0,0,0.00017,0,0,0,0,0,0,0
