SampleID	SwabID	Sample_Date	Location	Lat	Lon	Species	Sp_Abv	TTX_nmol_mg	TTX_mg	mass_g	svl_mm	sex	breeding_condition	Notes	DateDNAExtracted	zoospore_estimates	Log_bd	infected	ReadCount	antifungal_richness	antifungal_total	Propor_TotalAntiFungal	Propor_TotalAntiFungalRichness	TTX_Richness	TotalTTX	Propor_TotalTTX	TTX_Whole	Bd_Real
Tt.10Q4	10Q4	5/11/20	Cold Creek	34.09232115	-118.6477477	Taricha_torosa	Tt	0.17585915	0.167713996	19.8	73.33	M	terrestrial		1/9/22	10081.8871	4.0036	1	12658	7	1420	0.373684211	0.155555556	1	1	0.000263	Low	Positive
Tt.10R1	10R1	2/20/20	Gunstock	37.836388	-122.54455	Taricha_torosa	Tt	0.005260923	0.002524797	6.17	48.55	F	gravid		1/10/22	0	0	0	7	NA	NA	NA	NA	NA	NA	NA	Low	Negative
Tt.10R4	10R4	5/11/20	Cold Creek	34.09232115	-118.6477477	Taricha_torosa	Tt	0.57056911	0.317096917	12.93	66.23	F	non-gravid		1/9/22	1476.4031	3.1695	1	10740	18	2201	0.579210526	0.191489362	3	34	0.008947368	Low	Positive
Tt.10S1	10S1	2/20/20	Gunstock	37.836388	-122.54455	Taricha_torosa	Tt	0.0089252	0.00278691	4.31	50.28	F	non-gravid		1/10/22	0	0	0	8929	7	118	0.031052632	0.132075472	3	26	0.006842105	Low	Negative
Tt.10T1	10T1	2/20/20	Muir	37.862	-122.573239	Taricha_torosa	Tt	0.393167858	0.783089788	32.27	70.75	M	aquatic		1/9/22	563.8437	2.7519	1	3838	25	1699	0.447105263	0.23364486	5	235	0.061842105	Low	Positive
Tt.10U1	10U1	2/20/20	Muir	37.862	-122.573239	Taricha_torosa	Tt	0.115884477	0.051258663	11.78	63.56	F	gravid		1/10/22	0	0	0	3990	25	2068	0.544210526	0.185185185	3	47	0.012368421	Low	Negative
Tt.10V1	10V1	2/20/20	Muir	37.862	-122.573239	Taricha_torosa	Tt	0.520732414	0.459095405	24.37	70.19	M	aquatic		1/10/22	0	0	0	5659	30	662	0.174210526	0.291262136	2	17	0.004473684	Low	Negative
Tt.10W1	10W1	2/20/20	Muir	37.862	-122.573239	Taricha_torosa	Tt	0.416526987	0.417578971	21.83	65.67	M	aquatic		1/10/22	0	0	0	12444	25	1093	0.287631579	0.568181818	0	0	0	Low	Negative
Tt.10X1	10X1	2/20/20	Muir	37.862	-122.573239	Taricha_torosa	Tt	0.352955483	0.208501457	33.03	71.28	M	aquatic		1/10/22	242.9836	2.3874	1	11176	24	710	0.186842105	0.413793103	1	257	0.067631579	Low	Positive
Tt.10Y1	10Y1	2/20/20	Muir	37.862	-122.573239	Taricha_torosa	Tt	0.801312867	0.542642659	26.75	71.23	M	aquatic		1/9/22	45.7554	1.6698	1	11649	16	801	0.210789474	0.432432432	1	4	0.001052632	Low	Positive
